function,mean,std,min,25%,50%,75%,max
exp,3439.9977,3776.6802,33.8598,1238.7372,2291.0576,4284.6894,358345.3413
inverse,1.3092,0.0448,0.8864,1.2815,1.3108,1.3398,1.5714
inverse2,3704.9445,4128.2459,37.6109,1341.5449,2508.1354,4606.7153,500376.2726
log,376.0935,346.3911,6.6109,156.4844,275.8455,476.007,18336.3384
sqrt,468.4742,1061.8559,-3554.6406,16.0309,33.7292,648.6593,192678.9297
