function,mean,std,min,25%,50%,75%,max
exp,0.0006,0.0007,0.0,0.0002,0.0004,0.0007,0.0322
inverse,0.0008,0.0009,0.0,0.0003,0.0005,0.001,0.0408
inverse2,2867.6196,3451.1904,24.5218,1026.3311,1912.8137,3455.0036,555038.1318
log,0.071,0.0306,0.0113,0.0495,0.0644,0.0868,0.6098
sqrt,0.6513,1.7574,0.0,0.0001,0.1071,0.5204,44.2402
